set,id,name,grade,clan,type,rarity
BT07,001,"School Hunter, Leo-pald",3,Great Nature,Normal Unit,RRR+SP
BT07,002,"Guardian of Truth, Lox",3,Great Nature,Normal Unit,RRR+SP
BT07,003,"Binoculus Tiger",2,Great Nature,Normal Unit,RRR+SP
BT07,004,"Silver Thorn Dragon Tamer, Luquier",3,Pale Moon,Normal Unit,RRR+SP
BT07,005,"Dark Lord of Abyss",3,Dark Irregulars,Normal Unit,RRR+SP
BT07,006,"Emerald Witch, LaLa",1,Oracle Think Tank,Normal Unit,RRR+SP
BT07,007,"White Hare in the Moon's Shadow, Pellinore",3,Gold Paladin,Normal Unit,RRR+SP
BT07,008,"Chief Nurse, Shamsiel",3,Angel Feather,Normal Unit,RRR+SP
BT07,009,"School Dominator, Apt",3,Great Nature,Normal Unit,RR+SP
BT07,010,"Lamp Camel",2,Great Nature,Normal Unit,RR
BT07,011,"Monoculus Tiger",1,Great Nature,Normal Unit,RR+SP
BT07,012,"Cable Sheep",1,Great Nature,Normal Unit,RR
BT07,013,"Sword Magician, Sarah",3,Pale Moon,Normal Unit,RR+SP
BT07,014,"Fire Breeze, Carrie",2,Pale Moon,Normal Unit,RR
BT07,015,"Peek-a-boo",2,Pale Moon,Normal Unit,RR
BT07,016,"Magician of Quantum Mechanics",1,Pale Moon,Normal Unit,RR
BT07,017,"Blade Wing Reijy",3,Dark Irregulars,Normal Unit,RR+SP
BT07,018,"Emblem Master",2,Dark Irregulars,Normal Unit,RR
BT07,019,"Yellow Bolt",1,Dark Irregulars,Normal Unit,RR
BT07,020,"Listener of Truth, Dindrane",1,Gold Paladin,Normal Unit,RR
BT07,021,"Pencil Hero, Hammsuke",3,Great Nature,Normal Unit,R
BT07,022,"Dumbbell Kangaroo",3,Great Nature,Normal Unit,R
BT07,023,"Magnet Crocodile",3,Great Nature,Normal Unit,R
BT07,024,"Law Official, Lox",2,Great Nature,Normal Unit,R
BT07,025,"Pencil Squire, Hammsuke",1,Great Nature,Normal Unit,R
BT07,026,"Thermometer Giraffe",1,Great Nature,Normal Unit,R
BT07,027,"Tank Mouse",1,Great Nature,Normal Unit,R
BT07,028,"Flask Marmoset",0,Great Nature,Normal Unit,R
BT07,029,"Midnight Invader",3,Pale Moon,Normal Unit,R
BT07,030,"Dancing Princess of the Night Sky",2,Pale Moon,Normal Unit,R
BT07,031,"Bull's Eye, Mia",1,Pale Moon,Normal Unit,R
BT07,032,"Purple Trapezist",1,Pale Moon,Normal Unit,R
BT07,033,"Evil Eye Basilisk",3,Dark Irregulars,Normal Unit,R
BT07,034,"Hades Carriage of the Witching Hour",2,Dark Irregulars,Normal Unit,R
BT07,035,"Free Traveler",2,Dark Irregulars,Normal Unit,R
BT07,036,"Courting Succubus",1,Dark Irregulars,Normal Unit,R
BT07,037,"Sky Witch, NaNa",3,Oracle Think Tank,Normal Unit,R
BT07,038,"Battle Sister, Glace",2,Oracle Think Tank,Normal Unit,R
BT07,039,"Little Witch, LuLu",0,Oracle Think Tank,Normal Unit,R
BT07,040,"Photon Archer, Griflet",3,Gold Paladin,Normal Unit,R
BT07,041,"Lop Ear Shooter",2,Gold Paladin,Normal Unit,R
BT07,042,"Spring Breeze Messenger",0,Gold Paladin,Normal Unit,R
BT07,043,"Calculator Hippo",3,Great Nature,Normal Unit,C
BT07,044,"Schoolbag Sea Lion",3,Great Nature,Normal Unit,C
BT07,045,"Red Pencil Rhino",2,Great Nature,Normal Unit,C
BT07,046,"Pencil Knight, Hammsuke",2,Great Nature,Normal Unit,C
BT07,047,"Globe Armadillo",2,Great Nature,Normal Unit,C
BT07,048,"Explosion Scientist, Bunta",2,Great Nature,Normal Unit,C
BT07,049,"Multimeter Giraffe",2,Great Nature,Normal Unit,C
BT07,050,"Canvas Koala",2,Great Nature,Normal Unit,C
BT07,051,"Thumbtack Fighter, Resanori",1,Great Nature,Normal Unit,C
BT07,052,"Tick Tock Flamingo",1,Great Nature,Normal Unit,C
BT07,053,"Bringer of Knowledge, Lox",1,Great Nature,Normal Unit,C
BT07,054,"Element Glider",1,Great Nature,Normal Unit,C
BT07,055,"Failure Scientist, Ponkichi",1,Great Nature,Normal Unit,C
