set,id,name,grade,clan,type,rarity,qtt
BT01,3,Barcgal,0,Royal Paladin,Normal Unit,RRR,1
BT01,4,Dragonic Overlord,3,Kagero,Normal Unit,RRR,1
BT01,10,"Solitary Knight, Gancelot",3,Royal Paladin,Normal Unit,RR,1
BT01,12,"Future Knight, Llew",0,Royal Paladin,Critical Trigger,RR,2
BT01,15,"Wyvern Guard, Barri",1,Kagero,Normal Unit,RR,1
BT01,16,"Lizard Soldier, Conroe",0,Kagero,Normal Unit,RR,1
BT01,21,"Knight of Silence, Gallatin",2,Royal Paladin,Normal Unit,R,1
BT01,22,"Dragon Knight, Nehalem",2,Kagero,Normal Unit,R,1
BT01,24,"Embodiment of Spear, Tahr",0,Kagero,Critical Trigger,R,1
BT01,25,"Oracle Guardian, Apollon",3,Oracle Think Tank,Normal Unit,R,1
BT01,26,"Oracle Guardian, Wiseman",2,Oracle Think Tank,Normal Unit,R,1
BT01,27,Lozenge Magus,0,Oracle Think Tank,Heal Trigger,R,2
BT01,28,Mr. Invincible,3,Nova Grappler,Normal Unit,R,1
BT01,31,Queen of Heart,1,Nova Grappler,Normal Unit,R,1
BT01,32,Battleraizer,0,Nova Grappler,Stand Trigger,R,1
BT01,33,"Tyrant, Deathrex",3,Tachikaze,Normal Unit,R,2
BT01,34,"Assault Dragon, Blightops",2,Tachikaze,Normal Unit,R,1
BT01,35,"Stealth Dragon, Voidmaster",3,Nubatama,Normal Unit,R,1
BT01,37,Monster Frank,3,Granblue,Normal Unit,R,1
BT01,38,Commodore Blueblood,2,Granblue,Normal Unit,R,1
BT01,41,"Covenant Knight, Randolf",2,Royal Paladin,Normal Unit,C,1
BT01,42,"Little Sage, Marron",1,Royal Paladin,Normal Unit,C,1
BT01,44,Wingal,1,Royal Paladin,Normal Unit,C,2
BT01,45,"Weapons Dealer, Govannon",0,Royal Paladin,Draw Trigger,C,2
BT01,46,Flogal,0,Royal Paladin,Stand Trigger,C,2
BT01,47,"Yggdrasil Maiden, Elaine",0,Royal Paladin,Heal Trigger,C,2
BT01,48,"Embodiment of Armor, Bahr",1,Kagero,Normal Unit,C,1
BT01,49,"Dragon Monk, Gojo",1,Kagero,Normal Unit,C,1
BT01,50,"Wyvern Strike, Jarran",1,Kagero,Normal Unit,C,1
BT01,51,"Dragon Dancer, Monica",0,Kagero,Draw Trigger,C,2
BT01,52,"Lizard Soldier, Ganlu",0,Kagero,Stand Trigger,C,2
BT01,53,"Dragon Monk, Genjo",0,Kagero,Heal Trigger,C,2
BT01,54,"Oracle Guardian, Gemini",1,Oracle Think Tank,Normal Unit,C,2
BT01,55,"Weather Girl, Milk",1,Oracle Think Tank,Normal Unit,C,2
BT01,56,"Oracle Guardian, Nike",0,Oracle Think Tank,Critical Trigger,C,1
BT01,57,Dream Eater,0,Oracle Think Tank,Draw Trigger,C,2
BT01,58,Miracle Kid,0,Oracle Think Tank,Draw Trigger,C,2
BT01,59,Hungry Dumpty,2,Nova Grappler,Normal Unit,C,2
BT01,60,Tough Boy,1,Nova Grappler,Normal Unit,C,2
BT01,61,"Screamin' and Dancin' Announcer, Shout",1,Nova Grappler,Normal Unit,C,1
BT01,62,Clay-doll Mechanic,1,Nova Grappler,Normal Unit,C,2
BT01,63,Shining Lady,0,Nova Grappler,Critical Trigger,C,2
BT01,65,"Ring Girl, Clara",0,Nova Grappler,Heal Trigger,C,1
BT01,66,Sonic Noa,1,Tachikaze,Normal Unit,C,1
BT01,67,"Ironclad Dragon, Shieldon",0,Tachikaze,Normal Unit,C,2
BT01,68,"Stealth Beast, Chigasumi",2,Nubatama,Normal Unit,C,2
BT01,69,"Stealth Dragon, Dreadmaster",1,Nubatama,Normal Unit,C,2
BT01,70,"Stealth Beast, Hagakure",0,Nubatama,Normal Unit,C,2
BT01,71,Blue Dust,2,Dark Irregulars,Normal Unit,C,2
BT01,72,Nightmare Baby,1,Dark Irregulars,Normal Unit,C,1
BT01,73,Rock the Wall,0,Dark Irregulars,Normal Unit,C,2
BT01,74,"Highspeed, Brakki",2,Spike Brothers,Normal Unit,C,2
BT01,75,Wonder Boy,1,Spike Brothers,Normal Unit,C,1
BT01,76,"Redshoe, Milly",0,Spike Brothers,Normal Unit,C,1
BT01,77,"Dandy Guy, Romario",1,Granblue,Normal Unit,C,2
BT01,78,Guiding Zombie,0,Granblue,Normal Unit,C,2
BT01,79,Karma Queen,1,Megacolony,Normal Unit,C,1
BT01,80,Madame Mirage,0,Megacolony,Normal Unit,C,2
BT02,18,"Magician Girl, Kirara",2,Nova Grappler,Normal Unit,RR,1
BT02,19,Twin Blader,1,Nova Grappler,Normal Unit,RR,1
BT02,23,Dudley Dan,1,Spike Brothers,Normal Unit,R,1
BT02,26,Chappie the Ghostie,0,Granblue,Normal Unit,R,1
BT02,31,Blazing Core Dragon,2,Kagero,Normal Unit,R,1
BT02,43,Cyclone Blitz,1,Spike Brothers,Normal Unit,C,1
BT02,45,Sonic Breaker,0,Spike Brothers,Critical Trigger,C,1
BT02,46,Cheerful Lynx,0,Spike Brothers,Draw Trigger,C,1
BT02,47,"Cheer Girl, Tiara",0,Spike Brothers,Heal Trigger,C,1
BT02,48,Silence Joker,0,Spike Brothers,Critical Trigger,C,1
BT02,50,Monster Frank,2,Granblue,Normal Unit,C,1
BT02,51,Three-headed Hyena,1,Granblue,Normal Unit,C,1
BT02,57,Ghostie Ship,3,Granblue,Normal Unit,C,1
BT02,60,"Dragon Knight, Berger",2,Kagero,Normal Unit,C,1
BT02,61,"Flame of Promise, Aermo",1,Kagero,Normal Unit,C,1
BT02,62,Gattling Claw Dragon,0,Kagero,Draw Trigger,C,1
BT02,63,Genie of the Lamp,1,Oracle Think Tank,Normal Unit,C,1
BT02,65,Savage Destroyer,2,Tachikaze,Normal Unit,C,1
BT02,67,Savage Warrior,2,Tachikaze,Normal Unit,C,1
BT02,78,Phantom Black,1,Megacolony,Normal Unit,C,1
